インターネット利用率,所得,降水量,識字率,GGI,GGI経済,GGI教育,GGI保健,GGI政治
72.23767711,14172.19,1485,99.0292,0.769,0.743,0.999,0.958,0.376
57.5,10824.3,89,96.7526,0.634,0.461,0.966,0.962,0.145
36,6240.63,1010,72.92679,0.66,0.64,0.759,0.98,0.262
74.29490687,20948.25,591,99.30437,0.746,0.623,0.995,0.98,0.387
66.54394969,13452.64,562,99.8454,0.684,0.673,0.998,0.948,0.118
81.09999907,14000.22,447,99.956,0.687,0.748,0.996,0.941,0.063
99.53951246,48617.21,83,99.77188,0.629,0.51,0.985,0.958,0.066
12.9,5246.1,2666,83.19781,0.726,0.438,0.951,0.969,0.545
85.08791245,19644.05,618,99.84019,0.746,0.837,0.999,0.977,0.172
47.0826258,6166.38,1705,88.60581,0.671,0.68,0.991,0.98,0.032
29,3404.12,1039,52.54924,0.658,0.847,0.733,0.972,0.079
41.77264453,11105.02,2200,92.04084,0.635,0.544,0.954,0.96,0.082
55.13905053,8144.91,1146,99.04049,0.734,0.623,0.98,0.979,0.357
73.21175294,14917.61,1028,99.65221,0.712,0.614,0.967,0.976,0.29
61,15705.54,416,97.81232,0.709,0.779,1,0.98,0.079
73.91244005,14796.02,1761,98.93239,0.691,0.653,1,0.98,0.133
95,60099.31,2722,99.60493,0.686,0.752,0.992,0.969,0.031
70.16248359,23652.36,608,98.00037,0.727,0.715,0.989,0.979,0.225
18,2236.43,748,52.50931,0.635,0.614,0.873,0.963,0.089
5.2,712.696,1274,87.61798,0.745,0.837,0.896,0.978,0.269
61.94339776,6203.36,228,98.3427,0.725,0.79,0.972,0.974,0.163
78.80000044,4511.43,1904,91.53502,0.694,0.759,0.939,0.975,0.103
33.5,3532.14,1604,83.79737,0.686,0.689,0.885,0.973,0.196
10.4,1497.91,322,52.74818,0.596,0.682,0.589,0.971,0.141
82.32748693,24262.41,1522,99.14644,0.723,0.608,1,0.977,0.307
70.64214286,17469.51,645,99.72886,0.676,0.651,0.973,0.926,0.154
65.00690072,14570.07,3240,98.65564,0.758,0.735,1,0.98,0.318
80.53018608,19759.33,2926,99.32292,0.782,0.607,1,0.977,0.545
36.28895457,5237.65,1348,50.23758,0.606,0.545,0.828,0.97,0.082
78.32093274,28470.66,1113,99.74234,0.72,0.674,0.995,0.979,0.232
90.80209879,39195.8,498,99.85889,0.692,0.681,0.998,0.967,0.122
21.15,1100.46,1543,86.06844,0.578,0.589,0.658,0.976,0.089
75.8,19165.81,1410,97.89856,0.7,0.66,0.998,0.98,0.163
54.06292473,10550.02,2274,98.82516,0.729,0.68,0.997,0.978,0.26
71.9142004,12282.44,18.1,93.29287,0.629,0.438,0.973,0.974,0.133
50.49119319,8740.51,1784,97.6975,0.706,0.59,0.992,0.98,0.262
89.05828666,38335.63,626,99.96553,0.751,0.736,1,0.974,0.294
25,2767.42,848,69.49176,0.705,0.568,0.85,0.976,0.427
72.53158414,15181.6,1026,99.79078,0.708,0.701,1,0.976,0.154
53,5664.18,1187,90.60143,0.673,0.642,0.951,0.968,0.129
78.11584474,29119.08,652,99.67237,0.701,0.675,0.993,0.971,0.164
44.40104984,8139.52,1996,93.26274,0.666,0.623,0.969,0.98,0.092
23,2579.1,1651,45.2464,0.642,0.803,0.68,0.962,0.125
32.13636364,5277.19,1976,97.18387,0.722,0.713,1,0.977,0.199
84.77115202,33720.28,589,99.36122,0.677,0.672,0.993,0.98,0.065
41,6693.18,1083,89.66406,0.668,0.354,0.962,0.944,0.411
53.72649449,11866.41,2702,99.71395,0.7,0.685,0.97,0.974,0.172
84.11087002,12805.18,228,98.02722,0.584,0.381,0.953,0.966,0.037
49.35999889,9531.07,216,81.54016,0.53,0.227,0.812,0.975,0.105
76.1,41424.26,832,99.90972,0.707,0.595,0.997,0.969,0.267
68.21451709,9896.48,2051,96.46094,0.735,0.767,1,0.976,0.197
66.79031443,9902.75,111,99.23484,0.623,0.408,0.991,0.971,0.121
85.94259898,25661.89,250,99.84125,0.71,0.742,0.995,0.975,0.13
22.56511937,4948.22,630,85.8953,0.671,0.598,0.938,0.98,0.169
96.50506035,44207.59,2328,99.99983,0.672,0.555,0.973,0.98,0.179
98.59999513,40822.14,121,99.4921,0.65,0.589,0.997,0.961,0.053
38.19903776,4746.24,533,99.74733,0.689,0.654,0.99,0.98,0.13
25.51043508,7726.94,1834,90.23172,0.731,0.839,0.965,0.971,0.15
88.89796078,31268.31,667,99.82829,0.785,0.81,1,0.975,0.355
78.18077489,10960.83,661,99.09635,0.599,0.442,0.964,0.967,0.024
42.30173357,2526.61,788,85.08982,0.695,0.662,1,0.98,0.137
22,1484.78,2391,54.47145,0.685,0.714,0.839,0.968,0.218
83.0555907,38517.86,656,99.90917,0.745,0.795,0.998,0.979,0.207
15,1491.56,1513,65.06927,0.719,0.769,0.98,0.974,0.151
15.5,1375.23,1181,75.07797,0.684,0.6,0.915,0.98,0.162
89.55501192,26582.23,2875,98.41771,0.677,0.639,0.989,0.974,0.108
63.18566588,21814.24,1972,99.76103,0.646,0.518,1,0.953,0.111
26,2307.53,282,49.36651,0.621,0.591,0.757,0.965,0.171
86.85876183,43148.97,560,99.18603,0.693,0.621,1,0.969,0.184
20.80096366,5758.46,92,62.63845,0.614,0.411,0.879,0.97,0.194
64.88490358,20417.18,2041,98.72024,0.665,0.596,0.992,0.98,0.094
71.97,19052.76,758,98.73796,0.754,0.574,0.997,0.979,0.468
76.12451989,13047.35,450,99.30379,0.757,0.788,0.996,0.98,0.264
62.50002848,11595,241,98.50977,0.706,0.751,0.993,0.98,0.102
84.12036305,7629.81,346,95.06642,0.605,0.405,0.956,0.963,0.095
15.1,1224.61,1032,76.75276,0.723,0.648,0.904,0.98,0.362
23.62108195,4050.7,2091,96.33241,0.665,0.63,0.975,0.977,0.08
40.5,8799.62,285,94.88229,0.784,0.789,1,0.98,0.369
21.40351043,3857.55,1500,89.94844,0.68,0.632,0.895,0.966,0.227
27.86304001,5612.15,2280,91.5748,0.804,0.671,1,0.98,0.565
33.6,4920.9,1150,72.79035,0.635,0.738,0.806,0.964,0.032
81.40553811,16534.89,619,98.61457,0.711,0.635,0.988,0.973,0.248
95.23229327,29582.12,125,99.11869,0.602,0.431,0.977,0.979,0.021
17.07090203,4984.96,494,73.71475,0.564,0.327,0.823,0.946,0.159
63.62841477,28266.82,2928,98.12732,0.73,0.725,0.994,0.98,0.222
11.20919659,3601.41,3142,66.67899,0.635,0.683,0.895,0.964,0
74.51524041,12558.85,1130,99.03083,0.683,0.641,0.998,0.972,0.122
65.25179879,12271.76,1738,98.9331,0.714,0.652,0.981,0.977,0.247
46.88,8144.56,2348,98.22383,0.781,0.792,0.999,0.979,0.353
86.83692746,34154.25,600,99.99998,0.736,0.711,0.996,0.98,0.256
78.26165705,33440.25,854,99.59058,0.744,0.726,0.992,0.978,0.278
99.65279354,91544.09,74,98.60731,0.629,0.512,0.99,0.961,0.052
78.45526895,30960.74,637,99.30361,0.724,0.728,0.997,0.98,0.19
84.99466978,27847.67,460,99.70353,0.706,0.749,1,0.98,0.095
26,2204.96,1212,85.03122,0.791,0.672,0.957,0.973,0.563
97.8623325,44756.15,59,99.35105,0.599,0.375,0.983,0.963,0.077
39.5,3385.33,686,69.76133,0.684,0.552,0.888,0.976,0.32
16.8,1655.39,2526,67.3747,0.668,0.745,0.86,0.967,0.1
92,98535.68,2497,99.91459,0.724,0.782,0.99,0.965,0.159
86.60130109,39538.24,1162,99.86239,0.743,0.797,1,0.98,0.196
68.2,13030.51,495,99.027,0.78,0.649,0.994,0.98,0.497
93.20564609,38502.47,636,99.7564,0.795,0.681,0.998,0.972,0.527
35,12924.26,1712,98.76937,0.68,0.558,0.988,0.98,0.193
48.94517397,15367.36,2331,99.02734,0.707,0.635,0.993,0.967,0.232
21.96,3589.74,691,99.87511,0.626,0.496,0.942,0.976,0.088
20,2801.8,2142,87.30534,0.713,0.698,0.921,0.978,0.254
77.8437476,17412.96,1622,98.64085,0.708,0.776,0.991,0.978,0.086
27.49273173,2842.13,1500,82.2421,0.662,0.478,0.946,0.977,0.249
19.3,2153.66,1168,85.15564,0.615,0.608,0.778,0.965,0.111
77.32605293,23359.01,2200,99.60996,0.756,0.721,0.994,0.98,0.329
66.6999983,9810.1,414,97.39199,0.644,0.434,0.97,0.971,0.201
77.66956038,31079.72,1186,99.4812,0.635,0.478,0.961,0.976,0.124
70.1248443,12944.92,1130,99.76232,0.721,0.737,1,0.978,0.171
100,67941.76,156,99.45967,0.655,0.472,0.987,0.972,0.191
83.35153377,21842.56,2600,98.81745,0.737,0.696,1,0.98,0.274
25.71978784,2493.77,4000,95.71933,0.638,0.637,0.947,0.967,0
70.2900004,10622.41,3642,98.06167,0.7,0.751,0.982,0.942,0.123
26.71835477,1671.52,334,90.23692,0.494,0.273,0.717,0.966,0.018
19,3120.78,2040,91.52099,0.731,0.831,0.938,0.98,0.174
25.1,2203.21,1314,91.75005,0.73,0.728,0.977,0.98,0.238